point;polygon
(-123.18473082594468, 49.256735110440175);((-123.18494098131085, 49.256575191835346), (-123.18452259322008, 49.25657356701855), (-123.18451993482859, 49.25689267674036), (-123.18493769779151, 49.25689914199737), (-123.18494098131085, 49.256575191835346))
(-123.18550630716342, 49.256711670412955);((-123.1857085131588, 49.25657609254968), (-123.18530652180917, 49.25657493895221), (-123.18530367541295, 49.25684614944292), (-123.18570541629121, 49.25684955225904), (-123.1857085131588, 49.25657609254968))
(-123.18473444523634, 49.256257735433756);((-123.18494430151786, 49.25621325477318), (-123.18452553223298, 49.25621177450192), (-123.18452460508783, 49.2563022229405), (-123.18494336136177, 49.256303694241), (-123.18494430151786, 49.25621325477318))
(-123.18473630838541, 49.25607684123451);((-123.1849461817875, 49.256032366838085), (-123.18452738648094, 49.256030868625345), (-123.18452645937518, 49.25612132606194), (-123.18494524163735, 49.25612280630876), (-123.1849461817875, 49.256032366838085))
(-123.18473630838541, 49.25607684123451);((-123.1849461817875, 49.256032366838085), (-123.18452738648094, 49.256030868625345), (-123.18452645937518, 49.25612132606194), (-123.18494524163735, 49.25612280630876), (-123.1849461817875, 49.256032366838085))
(-123.1855065407093, 49.25603288519235);((-123.18530936123815, 49.255670473788264), (-123.18530172050845, 49.25639369293435), (-123.18570372581594, 49.256395296286605), (-123.18571136067234, 49.255672077121176), (-123.18530936123815, 49.255670473788264))
(-123.18473771501813, 49.255941171241126);((-123.1849461817875, 49.256032366838085), (-123.18494806204521, 49.25585147889728), (-123.1845292407507, 49.25584997173822), (-123.18452738648094, 49.256030868625345), (-123.1849461817875, 49.256032366838085))
(-123.18473771501813, 49.255941171241126);((-123.1849461817875, 49.256032366838085), (-123.18494806204521, 49.25585147889728), (-123.1845292407507, 49.25584997173822), (-123.18452738648094, 49.256030868625345), (-123.1849461817875, 49.256032366838085))
(-123.1848317929129, 49.24928649338968);((-123.18463914983452, 49.24910655047679), (-123.18463915084085, 49.24910682033218), (-123.18463568980702, 49.249464665226114), (-123.18502479132228, 49.249466282545754), (-123.18502757561974, 49.24910826781348), (-123.18463914983452, 49.24910655047679))
(-123.1848317929129, 49.24928649338968);((-123.18463914983452, 49.24910655047679), (-123.18463915084085, 49.24910682033218), (-123.18463568980702, 49.249464665226114), (-123.18502479132228, 49.249466282545754), (-123.18502757561974, 49.24910826781348), (-123.18463914983452, 49.24910655047679))
(-123.18485131297993, 49.24874770524774);((-123.18464399730276, 49.24856780918992), (-123.18464399797364, 49.24856798909352), (-123.18464052225488, 49.248925564187616), (-123.18464052259034, 49.24892565413942), (-123.18505894337987, 49.248927584290456), (-123.18506172741093, 49.24856956952416), (-123.18464399730276, 49.24856780918992))
(-123.18562638889289, 49.24848461035401);((-123.18588131441075, 49.24881017159793), (-123.18588647444147, 49.248160653407), (-123.18537163135218, 49.24815897995475), (-123.18536613479722, 49.24880849866005), (-123.18588131441075, 49.24881017159793))
(-123.18485131297993, 49.24874770524774);((-123.18464399730276, 49.24856780918992), (-123.18464399797364, 49.24856798909352), (-123.18464052225488, 49.248925564187616), (-123.18464052259034, 49.24892565413942), (-123.18505894337987, 49.248927584290456), (-123.18506172741093, 49.24856956952416), (-123.18464399730276, 49.24856780918992))
(-123.18484104240629, 49.24824725743236);((-123.1846472680198, 49.248155273517135), (-123.18464588729799, 49.24833770807663), (-123.18503476011225, 49.24833932572491), (-123.18503613876256, 49.24815672025407), (-123.1846472680198, 49.248155273517135))
(-123.18484104240629, 49.24824725743236);((-123.1846472680198, 49.248155273517135), (-123.18464588729799, 49.24833770807663), (-123.18503476011225, 49.24833932572491), (-123.18503613876256, 49.24815672025407), (-123.1846472680198, 49.248155273517135))
(-123.18552200492884, 49.24765308669643);((-123.18569722312662, 49.247686540054424), (-123.18569780126857, 49.24762087390528), (-123.18534672102803, 49.24761963863267), (-123.18534627982176, 49.247685304560186), (-123.18569722312662, 49.247686540054424))
(-123.18555708387534, 49.24747751891906);((-123.18576701185042, 49.24739047560649), (-123.18534887846032, 49.247388448616), (-123.18534720263881, 49.24756476692243), (-123.18576561063229, 49.247566343716194), (-123.18576701185042, 49.24739047560649))
(-123.1855587908832, 49.247299456380226);((-123.18576839689537, 49.2472102987992), (-123.1853506782367, 49.247208541006), (-123.18534887846032, 49.247388448616), (-123.18576701185042, 49.24739047560649), (-123.18576839689537, 49.2472102987992))
(-123.18567067500143, 49.24644160238141);((-123.18556765613398, 49.24626485319277), (-123.18556485561835, 49.24661747100038), (-123.18577370541543, 49.24661830473677), (-123.18577370507793, 49.246618214784945), (-123.18577650478132, 49.24626577687776), (-123.18556765613398, 49.24626485319277))
(-123.18567067500143, 49.24644160238141);((-123.18556765613398, 49.24626485319277), (-123.18556485561835, 49.24661747100038), (-123.18577370541543, 49.24661830473677), (-123.18577370507793, 49.246618214784945), (-123.18577650478132, 49.24626577687776), (-123.18556765613398, 49.24626485319277))
(-123.18567067500143, 49.24644160238141);((-123.18556765613398, 49.24626485319277), (-123.18556485561835, 49.24661747100038), (-123.18577370541543, 49.24661830473677), (-123.18577370507793, 49.246618214784945), (-123.18577650478132, 49.24626577687776), (-123.18556765613398, 49.24626485319277))
(-123.18561299004479, 49.24584352614223);((-123.18583396183936, 49.245796393900925), (-123.18583382444334, 49.24579639412193), (-123.1853927593776, 49.24579440417949), (-123.1853920205562, 49.24589065441605), (-123.1858328116867, 49.24589264480226), (-123.18583322387553, 49.24589264413924), (-123.18583396183936, 49.245796393900925))
(-123.18559908820531, 49.24574747932937);((-123.18583483888446, 49.2457005931992), (-123.18536423458592, 49.24569865065973), (-123.18536409719017, 49.24569865088018), (-123.18536321923438, 49.24579445157945), (-123.1853927593776, 49.24579440417949), (-123.18583382444334, 49.24579639412193), (-123.18583396183936, 49.245796393900925), (-123.18583483888446, 49.2457005931992))
(-123.1856024625203, 49.245363638970076);((-123.18583733257381, 49.24541318231028), (-123.18583820623192, 49.245316482083666), (-123.18536760390013, 49.245314089794164), (-123.18536672935673, 49.245410799013534), (-123.18583719517886, 49.24541318253129), (-123.18583733257381, 49.24541318231028))
(-123.18482295306046, 49.24568848247783);((-123.1850557450406, 49.24606449581179), (-123.18506302786847, 49.245314713016285), (-123.18459021382957, 49.24531240206014), (-123.1845828555131, 49.246062283891426), (-123.1850557450406, 49.24606449581179))
(-123.18482295306046, 49.24568848247783);((-123.1850557450406, 49.24606449581179), (-123.18506302786847, 49.245314713016285), (-123.18459021382957, 49.24531240206014), (-123.1845828555131, 49.246062283891426), (-123.1850557450406, 49.24606449581179))
(-123.1856024625203, 49.245363638970076);((-123.18583733257381, 49.24541318231028), (-123.18583820623192, 49.245316482083666), (-123.18536760390013, 49.245314089794164), (-123.18536672935673, 49.245410799013534), (-123.18583719517886, 49.24541318253129), (-123.18583733257381, 49.24541318231028))
(-123.18574642455926, 49.235627027129304);((-123.18603290745925, 49.2355759804623), (-123.18546170020063, 49.23557555860159), (-123.18545988624103, 49.23567810741371), (-123.1854894203509, 49.23567805999616), (-123.18603109468216, 49.23567852928197), (-123.18603290745925, 49.2355759804623))
(-123.18574642455926, 49.235627027129304);((-123.18603290745925, 49.2355759804623), (-123.18546170020063, 49.23557555860159), (-123.18545988624103, 49.23567810741371), (-123.1854894203509, 49.23567805999616), (-123.18603109468216, 49.23567852928197), (-123.18603290745925, 49.2355759804623))
(-123.18576561528145, 49.235370332872705);((-123.18603860502303, 49.23526787481667), (-123.18549657829801, 49.23526747809577), (-123.185492801048, 49.23547300774232), (-123.18603485587391, 49.23547297266436), (-123.18603860502303, 49.23526787481667))
(-123.18576561528145, 49.235370332872705);((-123.18603860502303, 49.23526787481667), (-123.18549657829801, 49.23526747809577), (-123.185492801048, 49.23547300774232), (-123.18603485587391, 49.23547297266436), (-123.18603860502303, 49.23526787481667))
(-123.18496584702586, 49.23519562939841);((-123.18516326163706, 49.23515146130602), (-123.18477009491961, 49.23514939223869), (-123.18476850901398, 49.23523980608332), (-123.1851615390486, 49.235241866380136), (-123.18516326163706, 49.23515146130602))
(-123.18498236365949, 49.23510502163289);((-123.18516498186604, 49.23506042656637), (-123.1849850277202, 49.23505954548122), (-123.18477181654212, 49.23505853740804), (-123.18477009491961, 49.23514939223869), (-123.18516326163706, 49.23515146130602), (-123.18519279543341, 49.23515141396468), (-123.18519451628072, 49.235060559128684), (-123.18516498186604, 49.23506042656637))
(-123.18573878160649, 49.2576027124966);((-123.18567122700891, 49.257451117618984), (-123.18566820599497, 49.25775219248861), (-123.18580635827003, 49.257754219199654), (-123.18580936571391, 49.25745341420458), (-123.18580936537623, 49.25745332425293), (-123.18567122700891, 49.257451117618984))
(-123.1848317929129, 49.24928649338968);((-123.18463914983452, 49.24910655047679), (-123.18463915084085, 49.24910682033218), (-123.18463568980702, 49.249464665226114), (-123.18502479132228, 49.249466282545754), (-123.18502757561974, 49.24910826781348), (-123.18463914983452, 49.24910655047679))
(-123.18249200185862, 49.234467269080305);((-123.1828207565773, 49.23431190496544), (-123.18216689476884, 49.23431068907422), (-123.18216506156517, 49.23462277337517), (-123.18281505499355, 49.234624319229354), (-123.1828207565773, 49.23431190496544))
(-123.18249200185862, 49.234467269080305);((-123.1828207565773, 49.23431190496544), (-123.18216689476884, 49.23431068907422), (-123.18216506156517, 49.23462277337517), (-123.18281505499355, 49.234624319229354), (-123.1828207565773, 49.23431190496544))
(-123.18371473408153, 49.234493210944315);((-123.18364908762337, 49.23431364050689), (-123.18364337686006, 49.234625874923175), (-123.18364217661012, 49.23467265216122), (-123.18378023028268, 49.23467288238257), (-123.18378714026204, 49.234313861725944), (-123.18364908762337, 49.23431364050689))
(-123.18371473408153, 49.234493210944315);((-123.18364908762337, 49.23431364050689), (-123.18364337686006, 49.234625874923175), (-123.18364217661012, 49.23467265216122), (-123.18378023028268, 49.23467288238257), (-123.18378714026204, 49.234313861725944), (-123.18364908762337, 49.23431364050689))
(-123.18371473408153, 49.234493210944315);((-123.18364908762337, 49.23431364050689), (-123.18364337686006, 49.234625874923175), (-123.18364217661012, 49.23467265216122), (-123.18378023028268, 49.23467288238257), (-123.18378714026204, 49.234313861725944), (-123.18364908762337, 49.23431364050689))
(-123.18371473408153, 49.234493210944315);((-123.18364908762337, 49.23431364050689), (-123.18364337686006, 49.234625874923175), (-123.18364217661012, 49.23467265216122), (-123.18378023028268, 49.23467288238257), (-123.18378714026204, 49.234313861725944), (-123.18364908762337, 49.23431364050689))
(-123.18371473408153, 49.234493210944315);((-123.18364908762337, 49.23431364050689), (-123.18364337686006, 49.234625874923175), (-123.18364217661012, 49.23467265216122), (-123.18378023028268, 49.23467288238257), (-123.18378714026204, 49.234313861725944), (-123.18364908762337, 49.23431364050689))
(-123.18440492677695, 49.234494629045635);((-123.18433935129319, 49.23431487088532), (-123.18433244632004, 49.234674161426206), (-123.18447051370073, 49.2346743818055), (-123.18447740393611, 49.234315091279505), (-123.18433935129319, 49.23431487088532))
(-123.12236084929206, 49.28402648462608);((-123.12273869782524, 49.28401872227736), (-123.12236974981893, 49.283779751972155), (-123.12198330984208, 49.284034733008596), (-123.12235129358426, 49.28427298594411), (-123.12273869782524, 49.28401872227736))
(-123.12236084929206, 49.28402648462608);((-123.12273869782524, 49.28401872227736), (-123.12236974981893, 49.283779751972155), (-123.12198330984208, 49.284034733008596), (-123.12235129358426, 49.28427298594411), (-123.12273869782524, 49.28401872227736))
(-123.12274479363371, 49.284275331014626);((-123.12273869782524, 49.28401872227736), (-123.12235129358426, 49.28427298594411), (-123.12275179778464, 49.28453224286924), (-123.12313782471945, 49.284277079821486), (-123.12273869782524, 49.28401872227736))
(-123.12274479363371, 49.284275331014626);((-123.12273869782524, 49.28401872227736), (-123.12235129358426, 49.28427298594411), (-123.12275179778464, 49.28453224286924), (-123.12313782471945, 49.284277079821486), (-123.12273869782524, 49.28401872227736))
(-123.12312660833014, 49.284522191353);((-123.12328670664955, 49.28437352924442), (-123.1229006797319, 49.28462869278526), (-123.12296596211651, 49.284670990602514), (-123.12335240198651, 49.28441600630813), (-123.12328670664955, 49.28437352924442))
(-123.12330968558508, 49.28464068115628);((-123.1234501879218, 49.28447931785909), (-123.12306442295419, 49.28473475151762), (-123.12316840694852, 49.28480210453065), (-123.12355486054715, 49.28454711955035), (-123.1234501879218, 49.28447931785909))
(-123.1228733215244, 49.28511832284714);((-123.12296795981159, 49.28492691016087), (-123.1225817896497, 49.28518216271437), (-123.12277860284594, 49.285309775170674), (-123.12316491026746, 49.28505443186705), (-123.12296795981159, 49.28492691016087))
(-123.1228733215244, 49.28511832284714);((-123.12296795981159, 49.28492691016087), (-123.1225817896497, 49.28518216271437), (-123.12277860284594, 49.285309775170674), (-123.12316491026746, 49.28505443186705), (-123.12296795981159, 49.28492691016087))
