point;polygon
(-123.10930382684634, 49.28208977439603);((-123.10932056758857, 49.281922017420555), (-123.10932056778742, 49.28192210737214), (-123.10918597057626, 49.28223914372063), (-123.10928707214231, 49.28225748825771), (-123.10942166875485, 49.2819404517929), (-123.10932056758857, 49.281922017420555))
(-123.10930382684634, 49.28208977439603);((-123.10932056758857, 49.281922017420555), (-123.10932056778742, 49.28192210737214), (-123.10918597057626, 49.28223914372063), (-123.10928707214231, 49.28225748825771), (-123.10942166875485, 49.2819404517929), (-123.10932056758857, 49.281922017420555))
(-123.10913735467828, 49.28259395309091);((-123.10925973586504, 49.28248078339096), (-123.10898753055343, 49.2824312341592), (-123.10888422649215, 49.282674147341375), (-123.10930407047906, 49.282750569767956), (-123.10938407777546, 49.28256244090329), (-123.10925973586504, 49.28248078339096))
(-123.1096869503132, 49.28298815002344);((-123.10982584694077, 49.2828467821669), (-123.10947383077567, 49.283081359575), (-123.10954805010603, 49.28312950337766), (-123.10962164173343, 49.28308049983142), (-123.10990006626099, 49.28289492574544), (-123.10982584694077, 49.2828467821669))
(-123.10983493889336, 49.283035817912165);((-123.10990006626099, 49.28289492574544), (-123.10962164173343, 49.28308049983142), (-123.10976953022328, 49.28317651786627), (-123.10976994332322, 49.28317678732911), (-123.11004824348485, 49.28299094315207), (-123.10990006626099, 49.28289492574544))
(-123.1100582962506, 49.28322825146897);((-123.1101968341852, 49.283087139876436), (-123.10984492787347, 49.28332162834872), (-123.10991888607425, 49.28336950230433), (-123.11027146710902, 49.283135453728484), (-123.1101968341852, 49.283087139876436))
(-123.11085318549118, 49.28374297184489);((-123.11099126843288, 49.28360106547488), (-123.11063771062352, 49.28383484730808), (-123.11071511274947, 49.28388487629457), (-123.11106865679966, 49.2836510942398), (-123.11099126843288, 49.28360106547488))
(-123.11190320580432, 49.28365245417494);((-123.11204577713558, 49.283513352287756), (-123.1116921563954, 49.283747227364984), (-123.11176062267931, 49.28379156134834), (-123.11211425714176, 49.2835576770549), (-123.11204577713558, 49.283513352287756))
(-123.1060400364679, 49.2810980568819);((-123.10603443810994, 49.28092638996113), (-123.10590052355833, 49.28124333195493), (-123.10604562388535, 49.28126973465876), (-123.10617955130817, 49.280952783491045), (-123.10603443810994, 49.28092638996113))
(-123.10835738675026, 49.28099647074082);((-123.10848755873764, 49.28078918515768), (-123.10835832519919, 49.280900792668554), (-123.10827432417943, 49.280885597595976), (-123.10817982825473, 49.280868505310195), (-123.10799732083898, 49.28102700017478), (-123.1084565430834, 49.281110306180764), (-123.10871738986543, 49.280937578501614), (-123.10848755873764, 49.28078918515768))
(-123.11111604185623, 49.28260304682553);((-123.11125463228261, 49.28246110544204), (-123.1109005336428, 49.28269478970185), (-123.11097792069997, 49.28274490848807), (-123.11133160643183, 49.28251104448746), (-123.11125463228261, 49.28246110544204))
(-123.11174151195637, 49.28229063846768);((-123.11187928262338, 49.282148540603245), (-123.11152586392888, 49.28238267589382), (-123.11160340235793, 49.28243278512262), (-123.11195708269531, 49.282198829246994), (-123.11187928262338, 49.282148540603245))
(-123.11205120793085, 49.282491191873994);((-123.11218938228477, 49.2823489943063), (-123.1118355646999, 49.28258304996663), (-123.1119133654321, 49.28263334763071), (-123.11226692135293, 49.28239911208489), (-123.11218938228477, 49.2823489943063))
(-123.11279050996913, 49.28297005133437);((-123.11292852593917, 49.282828086024125), (-123.11257505165007, 49.28306190971918), (-123.11265246847756, 49.28311202735231), (-123.11300597023737, 49.28287819440041), (-123.11292852593917, 49.282828086024125))
(-123.11216536889204, 49.28328228690908);((-123.11230343288656, 49.283140315111055), (-123.11194987097001, 49.28337416395039), (-123.1120272876336, 49.283424273004584), (-123.1123808770007, 49.283190405913366), (-123.11230343288656, 49.283140315111055))
(-123.11250268961521, 49.28341378148091);((-123.11253576572011, 49.283290596355776), (-123.11231813990184, 49.28343452401083), (-123.11231473498397, 49.283436776114186), (-123.11246959686223, 49.28353697566242), (-123.11269065504663, 49.283390777593226), (-123.11253576572011, 49.283290596355776))
(-123.06532564775976, 49.28147778614913);((-123.06522540254915, 49.28131014212861), (-123.06521830862543, 49.281644424885535), (-123.06542586065142, 49.28164543195241), (-123.06543302197953, 49.28131119412033), (-123.06522540254915, 49.28131014212861))
(-123.06511822143128, 49.28147668078404);((-123.06501779688861, 49.28130909875127), (-123.06501137535231, 49.2816434260929), (-123.06521830862543, 49.281644424885535), (-123.06522540254915, 49.28131014212861), (-123.06501779688861, 49.28130909875127))
(-123.06449606105404, 49.28147359896166);((-123.06439563991127, 49.28130594802316), (-123.06438921434514, 49.281640410259676), (-123.06459614759413, 49.28164141016649), (-123.06460324554654, 49.28130699251829), (-123.06439563991127, 49.28130594802316))
(-123.06408720520668, 49.28146225055125);((-123.06439563991127, 49.28130594802316), (-123.0637734691445, 49.28130270400105), (-123.06376769169755, 49.28160990146543), (-123.0641822454059, 49.281611902752836), (-123.0642232965143, 49.28163961207276), (-123.06438921434514, 49.281640410259676), (-123.06439563991127, 49.28130594802316))
(-123.06257061128133, 49.28092104136031);((-123.06246936749093, 49.28078073361866), (-123.06246423446011, 49.28106020756025), (-123.06267185290113, 49.28106135446533), (-123.06267698474741, 49.280781871519906), (-123.06246936749093, 49.28078073361866))
(-123.06257061128133, 49.28092104136031);((-123.06246936749093, 49.28078073361866), (-123.06246423446011, 49.28106020756025), (-123.06267185290113, 49.28106135446533), (-123.06267698474741, 49.280781871519906), (-123.06246936749093, 49.28078073361866))
(-123.06149920664672, 49.28091812732447);((-123.06157087296805, 49.28078131481608), (-123.06115633983478, 49.28077911525117), (-123.06115117930632, 49.281053470892225), (-123.06156571475016, 49.28105567946981), (-123.06157087296805, 49.28078131481608))
(-123.06149920664672, 49.28091812732447);((-123.06157087296805, 49.28078131481608), (-123.06115633983478, 49.28077911525117), (-123.06115117930632, 49.281053470892225), (-123.06156571475016, 49.28105567946981), (-123.06157087296805, 49.28078131481608))
(-123.06122284679417, 49.28091666304286);((-123.06157087296805, 49.28078131481608), (-123.06115633983478, 49.28077911525117), (-123.06115117930632, 49.281053470892225), (-123.06156571475016, 49.28105567946981), (-123.06157087296805, 49.28078131481608))
(-123.06072893863518, 49.281454311737285);((-123.06093341525887, 49.28162262980394), (-123.06093921788876, 49.28128810512412), (-123.0605244469459, 49.28128602934984), (-123.06051864143362, 49.28162049104387), (-123.06093341525887, 49.28162262980394))
(-123.06041785386212, 49.28145273514377);((-123.06031706149253, 49.28128499540198), (-123.06031125454491, 49.28161943010067), (-123.06051864143362, 49.28162049104387), (-123.0605244469459, 49.28128602934984), (-123.06031706149253, 49.28128499540198))
(-123.06041785386212, 49.28145273514377);((-123.06031706149253, 49.28128499540198), (-123.06031125454491, 49.28161943010067), (-123.06051864143362, 49.28162049104387), (-123.0605244469459, 49.28128602934984), (-123.06031706149253, 49.28128499540198))
(-123.06053135271104, 49.28091030705216);((-123.06011894903672, 49.280768433658544), (-123.06011380262669, 49.28104782654486), (-123.06094356093116, 49.28105232125482), (-123.0609487227221, 49.28077805557425), (-123.060948826066, 49.2807726584132), (-123.06011894903672, 49.280768433658544))
(-123.06053135271104, 49.28091030705216);((-123.06011894903672, 49.280768433658544), (-123.06011380262669, 49.28104782654486), (-123.06094356093116, 49.28105232125482), (-123.0609487227221, 49.28077805557425), (-123.060948826066, 49.2807726584132), (-123.06011894903672, 49.280768433658544))
(-123.06001274858197, 49.280907655024635);((-123.06011894903672, 49.280768433658544), (-123.0599120332187, 49.28076738074926), (-123.05990618429766, 49.28104667504352), (-123.06011380262669, 49.28104782654486), (-123.06011894903672, 49.280768433658544))
(-123.05868988258142, 49.28144355831526);((-123.05900380761179, 49.28127778467699), (-123.05838162429878, 49.28127495239345), (-123.05837583156169, 49.281609216078216), (-123.05899812933411, 49.28161226421911), (-123.05900380761179, 49.28127778467699))
(-123.05868988258142, 49.28144355831526);((-123.05900380761179, 49.28127778467699), (-123.05838162429878, 49.28127495239345), (-123.05837583156169, 49.281609216078216), (-123.05899812933411, 49.28161226421911), (-123.05900380761179, 49.28127778467699))
(-123.05868988258142, 49.28144355831526);((-123.05900380761179, 49.28127778467699), (-123.05838162429878, 49.28127495239345), (-123.05837583156169, 49.281609216078216), (-123.05899812933411, 49.28161226421911), (-123.05900380761179, 49.28127778467699))
(-123.05849184457036, 49.280893567681844);((-123.05839061170506, 49.28074684100123), (-123.0583854709311, 49.28103927681432), (-123.0585930889829, 49.2810402511446), (-123.05859822863592, 49.28074790527452), (-123.05839061170506, 49.28074684100123))
(-123.05849184457036, 49.280893567681844);((-123.05839061170506, 49.28074684100123), (-123.0583854709311, 49.28103927681432), (-123.0585930889829, 49.2810402511446), (-123.05859822863592, 49.28074790527452), (-123.05839061170506, 49.28074684100123))
(-123.05807713639157, 49.28088817286626);((-123.05818299478284, 49.2807457763549), (-123.05818367431476, 49.280739029629565), (-123.05797605721858, 49.28073778470796), (-123.05797090857432, 49.281037326696605), (-123.05817852661045, 49.28103830177177), (-123.05818299478284, 49.2807457763549))
(-123.05760976613828, 49.281438285587335);((-123.05753532199233, 49.281270609438245), (-123.0575295239542, 49.281605232889795), (-123.05768420804164, 49.28160596534), (-123.05769000503325, 49.28127134188114), (-123.05753532199233, 49.281270609438245))
(-123.05730798837884, 49.28087996919068);((-123.05723218820337, 49.28072583214458), (-123.05722841926386, 49.281033379124445), (-123.05738378903128, 49.28103411163706), (-123.05738755700469, 49.28072656465251), (-123.05723218820337, 49.28072583214458))
(-123.05730073972138, 49.28143657274383);((-123.05722525469824, 49.28126914427858), (-123.05722153075378, 49.28160376668731), (-123.0573755273518, 49.28160449989117), (-123.05738062520632, 49.28126987679514), (-123.05722525469824, 49.28126914427858))
(-123.05730073972138, 49.28143657274383);((-123.05722525469824, 49.28126914427858), (-123.05722153075378, 49.28160376668731), (-123.0573755273518, 49.28160449989117), (-123.05738062520632, 49.28126987679514), (-123.05722525469824, 49.28126914427858))
(-123.05627455016052, 49.28143075525186);((-123.05620790745199, 49.281263886712786), (-123.05620760017534, 49.28159841747449), (-123.0563401466318, 49.28159853282782), (-123.05634251533712, 49.28126391110876), (-123.05620790745199, 49.281263886712786))
(-123.05627711090563, 49.28088873073208);((-123.05620785872533, 49.28074919169709), (-123.05620748877115, 49.28102857308882), (-123.05634568472544, 49.281028685687396), (-123.05634741518959, 49.280749393583484), (-123.05620785872533, 49.28074919169709))
(-123.05627455016052, 49.28143075525186);((-123.05620790745199, 49.281263886712786), (-123.05620760017534, 49.28159841747449), (-123.0563401466318, 49.28159853282782), (-123.05634251533712, 49.28126391110876), (-123.05620790745199, 49.281263886712786))
(-123.05627455016052, 49.28143075525186);((-123.05620790745199, 49.281263886712786), (-123.05620760017534, 49.28159841747449), (-123.0563401466318, 49.28159853282782), (-123.05634251533712, 49.28126391110876), (-123.05620790745199, 49.281263886712786))
(-123.05600899169204, 49.28088873507077);((-123.05594662019084, 49.28074895866934), (-123.05594556140022, 49.28102843934051), (-123.05607136899486, 49.28102846831269), (-123.05607242717657, 49.28074907759235), (-123.05594662019084, 49.28074895866934))
(-123.05562365927385, 49.28143085272374);((-123.05556744054424, 49.28126366576511), (-123.05556712872306, 49.28159800762807), (-123.05567987563612, 49.281598043306595), (-123.05568018669507, 49.2812637014436), (-123.05556744054424, 49.28126366576511))
(-123.05535982820906, 49.28143071946337);((-123.05529092367978, 49.28126352855257), (-123.05529047240263, 49.281597789524696), (-123.05542879369283, 49.28159790316006), (-123.05542910643912, 49.28126355230196), (-123.05529092367978, 49.28126352855257))
(-123.05505118589655, 49.2814305691785);((-123.0549500728201, 49.28126342128994), (-123.05494975663537, 49.28159759224447), (-123.05515228870932, 49.281597765609845), (-123.05515260342526, 49.281263504703546), (-123.0549500728201, 49.28126342128994))
(-123.0550439312232, 49.280887880122364);((-123.05493944895564, 49.28074764288729), (-123.05493944915551, 49.28074782279075), (-123.05493838497308, 49.28102757330991), (-123.05493838517295, 49.281027753213365), (-123.05514876585086, 49.2810279228528), (-123.05514914107358, 49.28074790280506), (-123.05493944895564, 49.28074764288729))
(-123.05486466849044, 49.28088740317802);((-123.05493944895564, 49.28074764288729), (-123.05479026793823, 49.280747443864456), (-123.05479057835554, 49.28102764348923), (-123.05493838517295, 49.281027753213365), (-123.05493838497308, 49.28102757330991), (-123.05493944915551, 49.28074782279075), (-123.05493944895564, 49.28074764288729))
(-123.05486466849044, 49.28088740317802);((-123.05493944895564, 49.28074764288729), (-123.05479026793823, 49.280747443864456), (-123.05479057835554, 49.28102764348923), (-123.05493838517295, 49.281027753213365), (-123.05493838497308, 49.28102757330991), (-123.05493944915551, 49.28074782279075), (-123.05493944895564, 49.28074764288729))
(-123.05423763378849, 49.28134446798357);((-123.05409945693019, 49.28126205961072), (-123.05409921064297, 49.281426563514586), (-123.05437576987438, 49.28142689245778), (-123.05437608397939, 49.281262379526126), (-123.05409945693019, 49.28126205961072))
(-123.05423763378849, 49.28134446798357);((-123.05409945693019, 49.28126205961072), (-123.05409921064297, 49.281426563514586), (-123.05437576987438, 49.28142689245778), (-123.05437608397939, 49.281262379526126), (-123.05409945693019, 49.28126205961072))
(-123.05327016437433, 49.280885886971284);((-123.0527175049222, 49.2807451788336), (-123.05271711641113, 49.28102564863683), (-123.05382328882567, 49.281026478964016), (-123.05382298379068, 49.280746189382945), (-123.0527175049222, 49.2807451788336))
(-123.05327016437433, 49.280885886971284);((-123.0527175049222, 49.2807451788336), (-123.05271711641113, 49.28102564863683), (-123.05382328882567, 49.281026478964016), (-123.05382298379068, 49.280746189382945), (-123.0527175049222, 49.2807451788336))
(-123.05375349922132, 49.281426139238455);((-123.05368453697665, 49.28126156949113), (-123.05368417912703, 49.28159056823434), (-123.0538224317056, 49.281590737795575), (-123.05382284362379, 49.281261730031474), (-123.05368453697665, 49.28126156949113))
(-123.05375349922132, 49.281426139238455);((-123.05368453697665, 49.28126156949113), (-123.05368417912703, 49.28159056823434), (-123.0538224317056, 49.281590737795575), (-123.05382284362379, 49.281261730031474), (-123.05368453697665, 49.28126156949113))
(-123.05327016437433, 49.280885886971284);((-123.0527175049222, 49.2807451788336), (-123.05271711641113, 49.28102564863683), (-123.05382328882567, 49.281026478964016), (-123.05382298379068, 49.280746189382945), (-123.0527175049222, 49.2807451788336))
(-123.05327016437433, 49.280885886971284);((-123.0527175049222, 49.2807451788336), (-123.05271711641113, 49.28102564863683), (-123.05382328882567, 49.281026478964016), (-123.05382298379068, 49.280746189382945), (-123.0527175049222, 49.2807451788336))
(-123.05327016437433, 49.280885886971284);((-123.0527175049222, 49.2807451788336), (-123.05271711641113, 49.28102564863683), (-123.05382328882567, 49.281026478964016), (-123.05382298379068, 49.280746189382945), (-123.0527175049222, 49.2807451788336))
(-123.0526482170393, 49.28088537504741);((-123.05257932351434, 49.2807450618893), (-123.05257893431529, 49.28102562164407), (-123.05271711641113, 49.28102564863683), (-123.0527175049222, 49.2807451788336), (-123.05257932351434, 49.2807450618893))
(-123.05251003524077, 49.280885258919916);((-123.05244114201163, 49.28074485482803), (-123.05244075212404, 49.281025504534334), (-123.05257893431529, 49.28102562164407), (-123.05257932351434, 49.2807450618893), (-123.05244114201163, 49.28074485482803))
(-123.05251003524077, 49.280885258919916);((-123.05244114201163, 49.28074485482803), (-123.05244075212404, 49.281025504534334), (-123.05257893431529, 49.28102562164407), (-123.05257932351434, 49.2807450618893), (-123.05244114201163, 49.28074485482803))
(-123.05154210366769, 49.281426293153494);((-123.05174941889885, 49.28159372668491), (-123.0517495227309, 49.28125933095716), (-123.0513348090972, 49.28125886828857), (-123.05133464743456, 49.2815932370558), (-123.05174941889885, 49.28159372668491))
(-123.05104584018966, 49.280883900097166);((-123.05074445225553, 49.280742563021356), (-123.05074404028251, 49.281024472055414), (-123.05134764218215, 49.28102509593201), (-123.05134734968327, 49.280743367112024), (-123.05074445225553, 49.280742563021356))
(-123.05098911452146, 49.28142565336666);((-123.05092009546084, 49.281258395136376), (-123.050919889727, 49.28159274593181), (-123.05105814229542, 49.28159290980522), (-123.05105833334507, 49.28125855901593), (-123.05092009546084, 49.281258395136376))
(-123.05098911452146, 49.28142565336666);((-123.05092009546084, 49.281258395136376), (-123.050919889727, 49.28159274593181), (-123.05105814229542, 49.28159290980522), (-123.05105833334507, 49.28125855901593), (-123.05092009546084, 49.281258395136376))
(-123.05085110304373, 49.281425494701715);((-123.05078232507026, 49.28125823988117), (-123.05078209089656, 49.28159258169359), (-123.050919889727, 49.28159274593181), (-123.05092009546084, 49.281258395136376), (-123.05078232507026, 49.28125823988117))
(-123.05054313187858, 49.28088327013542);((-123.05034228223562, 49.2807419383638), (-123.0503418817196, 49.28102384739121), (-123.0503418819943, 49.2810241172464), (-123.05074404028251, 49.281024472055414), (-123.05074445225553, 49.280742563021356), (-123.05034228223562, 49.2807419383638))
(-123.05029788429975, 49.28142485620557);((-123.05022891984683, 49.28125761822782), (-123.05022859940676, 49.2815919330907), (-123.05036685197123, 49.281592097791204), (-123.05036715771804, 49.28125777393908), (-123.05022891984683, 49.28125761822782))
(-123.05015963908414, 49.28142469771602);((-123.05009068197634, 49.28125746235118), (-123.0500903468431, 49.28159176822478), (-123.05022859940676, 49.2815919330907), (-123.05022891984683, 49.28125761822782), (-123.05009068197634, 49.28125746235118))
(-123.05015963908414, 49.28142469771602);((-123.05009068197634, 49.28125746235118), (-123.0500903468431, 49.28159176822478), (-123.05022859940676, 49.2815919330907), (-123.05022891984683, 49.28125761822782), (-123.05009068197634, 49.28125746235118))
(-123.04884683855677, 49.28088057789109);((-123.04857068678012, 49.28074037585808), (-123.04857027404567, 49.281020126040985), (-123.04912298915082, 49.28102078291665), (-123.04912339875888, 49.280741032732784), (-123.04857068678012, 49.28074037585808))
(-123.04884683855677, 49.28088057789109);((-123.04857068678012, 49.28074037585808), (-123.04857027404567, 49.281020126040985), (-123.04912298915082, 49.28102078291665), (-123.04912339875888, 49.280741032732784), (-123.04857068678012, 49.28074037585808))
(-123.04905396183503, 49.28142325461537);((-123.04912322323614, 49.281256456448205), (-123.04856981802125, 49.28125579986349), (-123.04856947211273, 49.28158960200631), (-123.04912288098242, 49.28159017763491), (-123.04912322323614, 49.281256456448205))
(-123.04801691039154, 49.281422081872236);((-123.04787890362417, 49.28125491883669), (-123.04787853948557, 49.28158890988324), (-123.04815492084028, 49.2815892447939), (-123.0481552693629, 49.2812552537528), (-123.04787890362417, 49.28125491883669))
(-123.04801691039154, 49.281422081872236);((-123.04787890362417, 49.28125491883669), (-123.04787853948557, 49.28158890988324), (-123.04815492084028, 49.2815892447939), (-123.0481552693629, 49.2812552537528), (-123.04787890362417, 49.28125491883669))
(-123.04808684543654, 49.28087969130827);((-123.04760341682352, 49.28073925820519), (-123.04760299861772, 49.28101900838635), (-123.04857027404567, 49.281020126040985), (-123.04857068678012, 49.28074037585808), (-123.04760341682352, 49.28073925820519))
(-123.04808684543654, 49.28087969130827);((-123.04760341682352, 49.28073925820519), (-123.04760299861772, 49.28101900838635), (-123.04857027404567, 49.281020126040985), (-123.04857068678012, 49.28074037585808), (-123.04760341682352, 49.28073925820519))
(-123.04780962990955, 49.28142185208987);((-123.04774072079947, 49.28125479610662), (-123.04774035572767, 49.281588787153034), (-123.04787853948557, 49.28158890988324), (-123.04787890362417, 49.28125491883669), (-123.04774072079947, 49.28125479610662))
(-123.04753411953965, 49.28087902498345);((-123.04746523535367, 49.28073904519349), (-123.04746481636629, 49.281018795374415), (-123.04760299861772, 49.28101900838635), (-123.04760341699667, 49.28073943810866), (-123.04760341682352, 49.28073925820519), (-123.04746523535367, 49.28073904519349))
(-123.0472569076299, 49.281421235709466);((-123.04718800309273, 49.281254132620006), (-123.04718763437405, 49.281588213617574), (-123.04732581812947, 49.28158833700874), (-123.04732581804339, 49.28158824705703), (-123.04732617216517, 49.28125425601668), (-123.04718800309273, 49.281254132620006))
(-123.04711872431663, 49.28142108614973);((-123.04704982018576, 49.281253919112004), (-123.04704945044809, 49.28158791015769), (-123.04704945061923, 49.281588090061135), (-123.04718763437405, 49.281588213617574), (-123.04718800309273, 49.281254132620006), (-123.04704982018576, 49.281253919112004))
(-123.0460690399163, 49.281419968539424);((-123.04649639936461, 49.28158759431019), (-123.04649678624843, 49.281253243452674), (-123.0456416064002, 49.28125237904969), (-123.04564132368189, 49.28158667589158), (-123.04649639936461, 49.28158759431019))
(-123.04608671767791, 49.28087397765273);((-123.0456675157622, 49.28073691818999), (-123.04566707198762, 49.28100083686191), (-123.04635937249694, 49.281017463121806), (-123.04649686743738, 49.281017857635796), (-123.04649729147707, 49.280737657698026), (-123.0456675157622, 49.28073691818999))
(-123.04608671767791, 49.28087397765273);((-123.0456675157622, 49.28073691818999), (-123.04566707198762, 49.28100083686191), (-123.04635937249694, 49.281017463121806), (-123.04649686743738, 49.281017857635796), (-123.04649729147707, 49.280737657698026), (-123.0456675157622, 49.28073691818999))
(-123.0460690399163, 49.281419968539424);((-123.04649639936461, 49.28158759431019), (-123.04649678624843, 49.281253243452674), (-123.0456416064002, 49.28125237904969), (-123.04564132368189, 49.28158667589158), (-123.04649639936461, 49.28158759431019))
(-123.0460690399163, 49.281419968539424);((-123.04649639936461, 49.28158759431019), (-123.04649678624843, 49.281253243452674), (-123.0456416064002, 49.28125237904969), (-123.04564132368189, 49.28158667589158), (-123.04649639936461, 49.28158759431019))
(-123.04490592055966, 49.28086648003944);((-123.0448370525179, 49.28073608303834), (-123.04483686234096, 49.28082963295536), (-123.04483671037747, 49.28095016838701), (-123.04483661512538, 49.2809967634405), (-123.04497479722426, 49.28099688964366), (-123.04497523388845, 49.28073620924119), (-123.0448370525179, 49.28073608303834))
(-123.04456450085995, 49.28144203816615);((-123.04487828399579, 49.28146017875972), (-123.04483634738381, 49.28145974528073), (-123.0448366985144, 49.28127073849961), (-123.04433140291526, 49.281270213846796), (-123.04428326645579, 49.28130163446524), (-123.04428296767004, 49.281612885665524), (-123.04477502566814, 49.28161317279087), (-123.04477497228244, 49.28156939329013), (-123.04487846560393, 49.28156939811726), (-123.04487828399579, 49.28146017875972))
(-123.10672870864299, 49.280252168334044);((-123.1057959352938, 49.28062832843537), (-123.10598987595124, 49.28066323190457), (-123.10739488674908, 49.28091871999006), (-123.10746425087854, 49.28088627285708), (-123.10746519203147, 49.280876467236666), (-123.10746613318398, 49.28086666161623), (-123.10746679934839, 49.28085685625153), (-123.10746746551253, 49.2808470508868), (-123.10746813167643, 49.28083724552205), (-123.1074685228525, 49.280827440413034), (-123.10746891402837, 49.280817635304004), (-123.1074693052041, 49.28080783019495), (-123.10746942139227, 49.28079802534164), (-123.1074695375804, 49.28078822048831), (-123.1074721811487, 49.27979020281573), (-123.1074460090224, 49.27976773920328), (-123.10624258606478, 49.27957367451755), (-123.10620892894681, 49.279586748471), (-123.10577732657116, 49.280606307282156), (-123.1057959352938, 49.28062832843537))
(-123.10672870864299, 49.280252168334044);((-123.1057959352938, 49.28062832843537), (-123.10598987595124, 49.28066323190457), (-123.10739488674908, 49.28091871999006), (-123.10746425087854, 49.28088627285708), (-123.10746519203147, 49.280876467236666), (-123.10746613318398, 49.28086666161623), (-123.10746679934839, 49.28085685625153), (-123.10746746551253, 49.2808470508868), (-123.10746813167643, 49.28083724552205), (-123.1074685228525, 49.280827440413034), (-123.10746891402837, 49.280817635304004), (-123.1074693052041, 49.28080783019495), (-123.10746942139227, 49.28079802534164), (-123.1074695375804, 49.28078822048831), (-123.1074721811487, 49.27979020281573), (-123.1074460090224, 49.27976773920328), (-123.10624258606478, 49.27957367451755), (-123.10620892894681, 49.279586748471), (-123.10577732657116, 49.280606307282156), (-123.1057959352938, 49.28062832843537))
(-123.10852867637404, 49.2794282998772);((-123.10922050793229, 49.28004041955574), (-123.10927030665366, 49.28000270065883), (-123.10940977834558, 49.27989705521583), (-123.10947188795643, 49.27985569951593), (-123.10951936266945, 49.27978692235284), (-123.10953021903103, 49.27969133826572), (-123.1094045499314, 49.279609448253474), (-123.10942933088567, 49.27959312551979), (-123.10861841902836, 49.27906458716398), (-123.10862244166456, 49.279061947794304), (-123.10828783795779, 49.2788438318463), (-123.10825657549722, 49.27884454736114), (-123.10822530625745, 49.27884484408788), (-123.10819403584827, 49.27884472197331), (-123.10816276987967, 49.27884418103931), (-123.10813151396083, 49.27884322138296), (-123.10810027369916, 49.27884184317639), (-123.10806905469924, 49.27884004666688), (-123.10803786256184, 49.278837832176706), (-123.1080067028829, 49.278835200103174), (-123.10797558125257, 49.278832150918475), (-123.10794450325412, 49.27882868516964), (-123.10791347446305, 49.278824803478436), (-123.10788250044598, 49.278820506541244), (-123.10785158675975, 49.27881579512895), (-123.10782073895034, 49.2788106700868), (-123.10778996255193, 49.27880513233422), (-123.10776346920792, 49.27881806513182), (-123.10776143220265, 49.279624799895004), (-123.10778808526027, 49.27964710107471), (-123.10826725850966, 49.27972434447581), (-123.10827399891393, 49.27971809446758), (-123.10828095752144, 49.27971208835118), (-123.10828812551232, 49.27970633373917), (-123.10829549380136, 49.279700837925375), (-123.10830305304945, 49.279695607875574), (-123.10831079367547, 49.27969065021872), (-123.10831870586838, 49.279685971238486), (-123.10832677959971, 49.279681576865364), (-123.10833500463622, 49.27967747266909), (-123.1083433705529, 49.27967366385162), (-123.10835186674622, 49.279670155240524), (-123.10836048244747, 49.27966695128286), (-123.10836920673648, 49.27966405603957), (-123.10837802855549, 49.27966147318028), (-123.10838693672308, 49.2796592059787), (-123.10839591994838, 49.279657257308436), (-123.10840496684543, 49.27965562963938), (-123.10841406594751, 49.27965432503455), (-123.1084232057218, 49.2796533451475), (-123.10843237458387, 49.279652691220214), (-123.10844156091247, 49.27965236408152), (-123.10845075306415, 49.27965236414605), (-123.10845993938814, 49.279652691413744), (-123.10846910824104, 49.279653345469775), (-123.10847824800156, 49.27965432548516), (-123.10848734708533, 49.27965563021776), (-123.10849639395953, 49.27965725801385), (-123.10850537715746, 49.27965920681025), (-123.10851428529321, 49.279661474136915), (-123.10852310707594, 49.27966405712008), (-123.10853183132431, 49.279666952485876), (-123.10854044698057, 49.279670156564514), (-123.10854894312462, 49.27967366529491), (-123.10855730898783, 49.27967747422985), (-123.1085655339667, 49.27968157854161), (-123.10857360763632, 49.27968597302811), (-123.10858151976353, 49.279690652119434), (-123.10858926031993, 49.27969560988499), (-123.1085968194946, 49.27970084004093), (-123.10860418770645, 49.27970633595819), (-123.10861135561653, 49.27971209067085), (-123.10861831413969, 49.27971809688496), (-123.10862505445621, 49.279724346987834), (-123.10863156802293, 49.27973083305763), (-123.10863784658407, 49.27973754687343), (-123.10864388218174, 49.27974447992567), (-123.10864966716599, 49.279751623426904), (-123.10865519420452, 49.27975896832294), (-123.10866045629196, 49.27976650530433), (-123.10866544675875, 49.27977422481816), (-123.10867015927963, 49.27978211708017), (-123.10867458788161, 49.27979017208713), (-123.10867872695155, 49.279798379629554), (-123.10868257124332, 49.27980672930461), (-123.10868611588437, 49.279815210529314), (-123.10868935638196, 49.27982381255396), (-123.10869228862886, 49.27983252447572), (-123.10869490890853, 49.27984133525248), (-123.10869721389984, 49.27985023371682), (-123.10869920068127, 49.2798592085902), (-123.10870086673465, 49.279868248497216), (-123.10870220994829, 49.27987734198003), (-123.1087032286197, 49.279886477512925), (-123.10870392145775, 49.27989564351686), (-123.10895009175816, 49.27994809644361), (-123.10910157780194, 49.28004681054507), (-123.10912986014831, 49.28002823577581), (-123.10919387230268, 49.280069993896625), (-123.10922050793229, 49.28004041955574))
(-123.10868922900556, 49.28079777040849);((-123.1086461733192, 49.280652192467656), (-123.10848755873764, 49.28078918515768), (-123.10871738986543, 49.280937578501614), (-123.10890016962782, 49.28081654716133), (-123.1086461733192, 49.280652192467656))
