OID_, id,area,address,unit,civic_number,street,address_above_door,business_name,retailgroup,floor_area_sf,year_recorded
129,157,4th and MacDonald,2678 W 4TH AV,N/A,2678,W 4TH AV,2678 W 4TH AV,The Only Café,Food & Beverage,693,2022
130,158,4th and MacDonald,2682 W 4TH AV,N/A,2682,W 4TH AV,2682 W 4TH AV,Nabil's Barbershop,Service Commercial,276,2022
131,159,4th and MacDonald,2685 W 4TH AV,N/A,2685,W 4TH AV,2685 W 4TH AV,Pivot Training,Entertainment and Leisure,500,2022
132,160,4th and MacDonald,2686 W 4TH AV,N/A,2686,W 4TH AV,2686 W 4TH AV,Poppy Hair Salon,Service Commercial,1001,2022
133,161,4th and MacDonald,2692 W 4TH AV,N/A,2692,W 4TH AV,2692 W 4TH AV,La Veronica Beauty,Service Commercial,408,2022
134,162,4th and MacDonald,2695 W 4TH AV,N/A,2695,W 4TH AV,2695 W 4TH AV,Hype Salon,Service Commercial,500,2022
135,163,4th and MacDonald,2696 W 4TH AV,N/A,2696,W 4TH AV,2696 W 4TH AV,Optometry Clinic - Dr. Zia,Service Commercial,408,2022
136,164,4th and MacDonald,2698 W 4TH AV,N/A,2698,W 4TH AV,2698 W 4TH AV,Sazon Mexican Cuisine,Food & Beverage,1100,2022
137,165,4th and MacDonald,2702 W 4TH AV,N/A,2702,W 4TH AV,2702 W 4TH AV,The Terrace,Service Commercial,529,2022
138,166,4th and MacDonald,2704 W 4TH AV,N/A,2704,W 4TH AV,2704 W 4TH AV,Aroma Beauty Centre,Service Commercial,529,2022
139,167,4th and MacDonald,2705 W 4TH AV,N/A,2705,W 4TH AV,2705 W 4TH AV,Kitsilano Dental,Service Commercial,2418,2022
140,168,4th and MacDonald,2708 W 4TH AV,N/A,2708,W 4TH AV,2708 W 4TH AV,Vitavilla Food and Beverage,Food & Beverage,529,2022
141,169,4th and MacDonald,2710 W 4TH AV,N/A,2710,W 4TH AV,2710 W 4TH AV,Puerto Mexico,Food & Beverage,529,2022
142,170,4th and MacDonald,2712 W 4TH AV,N/A,2712,W 4TH AV,2712 W 4TH AV,J&J Shoe Master Leather,Service Commercial,529,2022
143,171,4th and MacDonald,2716 W 4TH AV,N/A,2716,W 4TH AV,2716 W 4TH AV,Healthy Noodle House,Food & Beverage,529,2022
144,172,4th and MacDonald,2718 W 4TH AV,N/A,2718,W 4TH AV,2718 W 4TH AV,Elegant Fashions,Comparison Goods,529,2022
145,173,4th and MacDonald,2720 W 4TH AV,N/A,2720,W 4TH AV,2720 W 4TH AV,Moda Lash,Service Commercial,1300,2022
146,174,4th and MacDonald,2722 W 4TH AV,N/A,2722,W 4TH AV,2722 W 4TH AV,Naam,Food & Beverage,1530,2022
147,175,4th and MacDonald,2737 W 4TH AV,N/A,2737,W 4TH AV,2737 W 4TH AV,T.J's The Kiddies Store,Comparison Goods,1643,2022
149,177,4th and MacDonald,2741 W 4TH AV,N/A,2741,W 4TH AV,2741 W 4TH AV,Maya Indian Restaurant ,Food & Beverage,2220,2022
150,178,4th and MacDonald,2745 W 4TH AV,N/A,2745,W 4TH AV,2745 W 4TH AV,The Diving Locker,Comparison Goods,2584,2022
152,180,4th and MacDonald,2763 W 4TH AV,N/A,2763,W 4TH AV,2763 W 4TH AV,Presentation centre ,Service Commercial,2976,2022
153,181,4th and MacDonald,2766 W 4TH AV,N/A,2766,W 4TH AV,2766 W 4TH AV,Charcuterie Vancouver ,Convenience Goods,1040,2022
154,182,4th and MacDonald,2774 W 4TH AV,N/A,2774,W 4TH AV,2774 W 4TH AV,Charcuterie Vancouver ,Convenience Goods,1040,2022
155,183,4th and MacDonald,2778 W 4TH AV,N/A,2778,W 4TH AV,2778 W 4TH AV,Zavin Carpet,Comparison Goods,1040,2022
157,185,4th and MacDonald,2798 W 4TH AV,N/A,2798,W 4TH AV,2798 W 4TH AV,Sunshine Coast,Convenience Goods,2250,2022
159,187,4th and MacDonald,2822 W 4TH AV,N/A,2822,W 4TH AV,2822 W 4TH AV,Chewie's Biscuit Co,Food & Beverage,1520,2022
160,188,4th and MacDonald,2826 W 4TH AV,N/A,2826,W 4TH AV,2826 W 4TH AV,Westcap Management Office,Service Commercial,1520,2022
161,189,4th and MacDonald,2828 W 4TH AV,N/A,2828,W 4TH AV,2828 W 4TH AV,Reggianno’s pizza,Food & Beverage,1200,2022
162,190,4th and MacDonald,2832 W 4TH AV,N/A,2832,W 4TH AV,2832 W 4TH AV,Anastasia Nail Spa,Service Commercial,1200,2022
163,191,4th and MacDonald,2835 W 4TH AV,N/A,2835,W 4TH AV,2835 W 4TH AV,Office,Service Commercial,3136,2022
164,192,4th and MacDonald,2836 W 4TH AV,N/A,2836,W 4TH AV,2836 W 4TH AV,Vacant ,Vacant,1200,2022
165,193,4th and MacDonald,2856 W 4TH AV,N/A,2856,W 4TH AV,2856 W 4TH AV,Yes Integrated Health Clinc,Service Commercial,980,2022
166,194,4th and MacDonald,2860 W 4TH AV,N/A,2860,W 4TH AV,2860 W 4TH AV,Vacant ,Vacant,934,2022
167,195,4th and MacDonald,2862 W 4TH AV,N/A,2862,W 4TH AV,2862 W 4TH AV,So Low Foods Hot Spot Hot Sauce,Convenience Goods,907,2022
168,196,4th and MacDonald,2866 W 4TH AV,N/A,2866,W 4TH AV,2866 W 4TH AV,Monalisa Dental Centre,Service Commercial,1820,2022
169,197,4th and MacDonald,2868 W 4TH AV,N/A,2868,W 4TH AV,2868 W 4TH AV,Evergreen Cannabis Store,Convenience Goods,910,2022
170,198,4th and MacDonald,2880 W 4TH AV,101,2880,W 4TH AV,2880 W 4TH AV,MSK Health & Performance Clinic,Service Commercial,774,2022
171,199,4th and MacDonald,2880 W 4TH AV,103,2880,W 4TH AV,2880 W 4TH AV,Drexoll Games,Comparison Goods,2494,2022
173,201,4th and MacDonald,2911 W 4TH AV,N/A,2911,W 4TH AV,2911 W 4TH AV,(@) 180 Optometry and Eyewear,Service Commercial,629,2022
174,202,4th and MacDonald,2915 W 4TH AV,N/A,2915,W 4TH AV,2915 W 4TH AV,Fabutan Studios,Service Commercial,629,2022
175,203,4th and MacDonald,2916 W 4TH AV,N/A,2916,W 4TH AV,2916 W 4TH AV,Vacant,Vacant,1087,2022
176,204,4th and MacDonald,2918 W 4TH AV,N/A,2918,W 4TH AV,2918 W 4TH AV,New Wave Smoke and Vape,Convenience Goods,1087,2022
179,207,4th and MacDonald,2928 W 4TH AV,N/A,2928,W 4TH AV,2928 W 4TH AV,Jolly's Indian Bistro,Food & Beverage,1400,2022
